668881,Hunter Greene,R
642547,Freddy Peralta,R
607200,Erick Fedde,R
446372,Corey Kluber,R
641927,Bailey Ober,R
669373,Tarik Skubal,L
573186,Marcus Stroman,R
656557,Tanner Houck,R
615698,Cal Quantrill,R
660761,Jose Suarez,L
571927,Steven Matz,L
543101,Anthony DeSclafani,R
669432,Trevor Rogers,L
656686,Corbin Martin,R
666120,Ian Anderson,R
471911,Carlos Carrasco,R
664353,José Urquidy,R
663804,Jackson Kowar,R
547943,Hyun JinRyu,L
656629,Michael Kopech,R
621107,Zach Eflin,R
622608,Antonio Senzatela,R
669060,Bryse Wilson,R
594835,Marco Gonzales,L
663903,Brady Singer,R
656756,Jordan Montgomery,L
628711,Julio Urías,L
642770,Javy Guerra,R
669330,Tyler Wells,R
622503,Nabil Crismatt,R
669952,Mitch White,R
675921,Spencer Howard,R
641726,Daulton Jefferies,R
621389,Ty Blach,L
660730,Elvin Rodriguez,R
643316,Paul Fry,L
663765,Jake Woodford,R
592761,Caleb Smith,L
676710,Kutter Crawford,R
670990,Yohan Ramirez,R
656794,Sean Newcomb,L
621383,Tanner Banks,L
656222,Jalen Beeks,L
605156,Aaron Brooks,R
670036,Matthew Festa,R
656271,Brock Burke,L
657376,Clarke Schmidt,R
543521,Collin McHugh,R
592804,Tyler Thornburg,R
664337,Miguel Yajure,R
468504,Jhoulys Chacín,R
663559,Bailey Falter,L
676103,Damon Jones,L
663158,Robert Suarez,R
663423,Trent Thornton,R
608718,Brent Suter,L
663460,Kris Bubic,L
607216,Joey Krehbiel,R
669467,Andre Pallante,R
640444,Wil Crowe,R
660896,Jorge Alcala,R
681810,Austin Warren,R
528748,Humberto Castellanos,R
518553,Steve Cishek,R
642100,Gabe Speier,L
613534,Austin Adams,R
548389,Ross Stripling,R
669459,Kyle Nelson,L
570666,Luis Cessa,R
669618,Joe Barlow,R
664208,Phil Maton,R
596057,Daniel Norris,L
677865,Justin Bruihl,L
592741,Chasen Shreve,L
605538,Matt Wisler,R
592866,Trevor Williams,R
641793,Zack Littell,R
621593,Anthony Castro,R
642758,Domingo Acevedo,R
665621,Rony García,R
623465,Evan Phillips,R
475479,David Phelps,R
518617,Jake Diekman,L
593974,Wandy Peralta,L
642048,Tayler Saucedo,L
669212,Eli Morgan,R
605151,Archie Bradley,R
502085,David Robertson,R
663574,Tony Santillan,R
445926,Jesse Chavez,R
642585,Félix Bautista,R
642528,Jonathan Loáisiga,R
606160,Rafael Montero,R
606424,Jarlín García,L
543056,Danny Coulombe,L
570663,Hansel Robles,R
502202,Brad Boxberger,R
641329,Bryan Baker,R
622250,Josh Sborz,R
664584,Jhon Romero,R
623474,Jimmy Herget,R
623352,Josh Hader,L
661383,Oliver Ortega,R
642152,Lou Trivino,R
594580,Sam Moll,L
592094,Jason Adam,R
657240,Julian Merryweather,R
608348,Carson Kelly,R
592390,Heath Hembree,R
593576,Héctor Neris,R
608678,Dominic Leone,R
542888,Shawn Armstrong,R
571710,Mychal Givens,R
642701,Dennis Santana,R
489334,Craig Stammen,R
641401,Connor Brogdon,R
605195,Kyle Crick,R
621381,Matt Strahm,L
542914,Anthony Bass,R
657024,Erik Swanson,R
641941,Emilio Pagán,R
671345,Jason Foley,R
663432,Tanner Rainey,R
656954,Justus Sheffield,L
642207,Devin Williams,R
641582,Matt Foster,R
448281,Sean Doolittle,L
476595,Lucas Luetge,L
605521,Art Warren,R
664199,Taylor Clarke,R
